Funding agency,Program title,Sub-program title,Purpose,Category1,Category2,Category3,Applicant type1,Applicant type2,Applicant type3,Client group1,Client group2,Client group3,Client group4,Client group5,Client group6,Business specific activity1,Business specific activity2,Business specific activity3,Business specific activity4,Business specific activity5,Assistance type1,Assistance type2,Assistance type3,Status,Opening date (date format),Closing date (date format),Opening date (text),Closing date (text),Financial year budget,Additional budget information,Website,Maximum (indicative) grant amount (dollar amount),Maximum (indicative) grant amount (text),Eligibility,How will I know if I'm successful?,Service ID,Category,Client Group,Application Type,Funding
DESBT,National Partnerships Job Trainer Fund,,"The JobTrainer Fund was announced on 16 July 2020 as part of the Australian Government’s $2 billion JobTrainer Skills Package.  The JobTrainer Fund will provide up to 340,700 additional training places that are free or low fee, in areas of identified skills need for job seekers and young people, including school leavers.",Education and training,,,Individual seeking grant or assistance,,,Individuals,,,,,,,,,,,Grant,,,Open,,,,,40000000,,https://desbt.qld.gov.au/training/training-careers/incentives/jobtrainer/job-seekers,,,,,61040,,,,
DESBT,FSF - Pre-Apprenticeship Support,,"Supporting the pathway from apprentice to qualified tradesperson, including services that: focus on supporting existing apprentices who have lost their jobs; increasing the number of tradespeople through alternative apprenticeship pathways; and linking targeted pre-apprenticeship training to attainment of an apprenticeship in a priority industry. A portion of the program may also form part of Queensland's contribution to the JobTrainer Fund.

The initiative includes $4.5 million to continue the SchoolTech program, which is a collaboration between TAFE Queensland, Woree State High School, and Skill360 (a registered group training organisation). The program supports eligible students to achieve a Queensland Certificate of Education through a combination of school learning, VET delivery, and work placement.",Education and training,,,Individual seeking grant or assistance,,,Individuals,,,,,,,,,,,Grant,,,Open,,,,,12500000,,https://desbt.qld.gov.au/training/future-skills-fund,,,,,61041,,,,
DESBT,Job Finder Queensland,,"A new online portal that will connect Queenslanders who have lost their jobs due to COVID-19 with new job opportunities.The online portal will allow Queenslanders who are looking for work to provide information on their skills, location and work experience",Employment and jobs,,,Individual seeking grant or assistance,,,Individuals,,,,,,,,,,,Grant,,,Open,,,,,545615,,https://desbt.qld.gov.au/,,,,,61042,,,,
DESBT,FSF - Workforce Transition Support Strategy,,"Future Skills Funding for Workforce Transition Support Program - $5m in 2020-21 (previously Regional Skills Adjustment Strategy)
Allocation of $5 million to support employers and workers to transition local workforce skills to take advantage of new or emerging industries during Queensland's economic recovery. The Program will focus on regional centres facing closure of major industries or emerging new industries seeking local skilled labour. TAFE Queensland Industry Liaison Officers will engage with companies that are closing and work with employees to provide career counselling, job search preparation, and training to enable them to get new jobs and link them to other opportunities. The Program will support emerging growth industries to get existing and new staff trained and allow for the delivery of non-accredited training. The Program was previously run as the Regional Skills Adjustment Strategy.",Education and training,,,Predetermined recipient/s,,,Individuals,,,,,,,,,,,Grant,,,Open,,,,,5000000,,https://desbt.qld.gov.au/training/future-skills-fund,,,,,61043,,,,
DESBT,Business Basics Grants,,The Business Basics Grant provides support to businesses to increase core skills and adopt best practice ,Business and industry,Employment and jobs,,"Business, startup or entrepreneur",,,Businesses,,,,,,Grow your business,Coaching & mentoring,,,,Grant,,,Closed,,,,,10000000,,https://www.business.qld.gov.au/businessbasics,5000,,"To be eligible to apply for this grant, the business must:

- have fewer than 20 employees (by head count) at the time of applying for the grant;
- have an active Australian Business Number (ABN) and be registered for GST;
- have a Queensland headquarters;
- have an expected turnover of $300,000 or less for the current financial year; and
- have owners/directors that are not insolvent or an undischarged bankrupt.

The applying business must be able to provide the following supporting documentation:

- a certified statutory declaration from the business' owner or director stating the business: has an expected turnover of $300,000 or less for the current finanical year and meets all grant eligibilty criteria; and
- supplier quotes (no more than two) detailing description and costs of services, who will undertake the activity, and an outline of key activities.

Only 1 application will be accepted from an individual ABN or a financial beneficiary of a business for consideration at any one time.",You will be notified by email as to the outcome of your application.,61044,,,,
DESBT,Business Boost Grant,,The Business Boost Grant supports businesses to advance improvements in their efficiency and productivity,Business and industry,Employment and jobs,,"Business, startup or entrepreneur",,,Businesses,,,,,,Grow your business,,,,,Grant,,,Closed,,30/07/2021,,,2500000,,https://www.business.qld.gov.au/businessboost,15000,,"To be eligible to apply, the business must (at the time of applying):
- have fewer than 20 employees (by headcount);
- have an active Australian Business Number (ABN) and registered for GST;
- have a Queensland headquarters; 
 - have a turnover of between $300,000 (minimum) and $600,000 (maximum) in the last financial year (2020-21); 
- have a publicly reachable web presence to identify business operations (for example, business website, social media pages); and
- have owners/directors that are not insolvent or undischarged bankrupt",You will be notified by email as to the outcome of your application.,61045,,,,
DESBT,Business Basics Grants,Round 2 Regional,The Business Basics Grant provides support to businesses to increase core skills and adopt best practice ,Business and industry,Employment and jobs,,"Business, startup or entrepreneur",,,Businesses,,,,,,Grow your business,Coaching & mentoring,,,,Grant,,,Closed,8/09/2021,11/10/2021,,,5000000,,https://www.business.qld.gov.au/businessbasics,5000,,"To be eligible to apply for this grant, the business must:

- have fewer than 20 employees (by head count) at the time of applying for the grant;
- have an active Australian Business Number (ABN) and be registered for GST;
- have a Queensland headquarters which is based in regional Queensland (see website);
- have an expected turnover of $300,000 or less for the current financial year (2020-21);
- not have been approved for funding under Round 1 of the Business Basics program; and
- have owners/directors that are not insolvent or an undischarged bankrupt.

The applying business must be able to provide the following supporting documentation:

- a certified statutory declaration from the business' owner or director stating the business: has an expected turnover of $300,000 or less for the current finanical year and meets all grant eligibilty criteria; and
- supplier quotes (no more than two) detailing description and costs of services, who will undertake the activity, and an outline of key activities.

Only 1 application will be accepted from an individual ABN or a financial beneficiary of a business for consideration at any one time.",You will be notified by email as to the outcome of your application.,61044,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61047,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61048,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61049,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61051,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61052,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61053,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61054,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61055,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61056,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61057,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61058,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61059,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61060,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61061,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61062,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61063,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61064,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61065,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61066,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61067,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61068,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61069,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61070,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61071,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61072,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61073,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61074,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61075,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61076,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61077,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61078,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61079,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61080,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61081,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61082,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61083,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61084,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61085,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61086,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61087,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61088,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61089,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61090,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61091,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61092,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61093,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61094,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61095,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61096,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61097,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61098,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61099,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61101,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61102,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61103,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61104,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61105,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61106,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61107,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61108,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61109,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61110,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61111,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61112,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61113,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61114,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61115,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61116,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61117,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61118,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61119,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61120,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61121,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61122,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61123,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61124,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61125,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61126,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61127,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61128,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61129,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61130,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61131,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61132,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61133,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61134,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61135,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61136,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61137,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61138,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61139,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61140,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61141,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61142,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61143,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61144,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61145,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61146,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61147,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61148,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61149,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61150,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61151,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61152,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61153,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61154,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61155,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61156,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61157,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61158,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61159,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61160,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61161,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61162,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61163,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61164,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61165,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61166,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61167,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61168,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61169,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61170,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61171,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61172,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61173,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61174,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61175,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61176,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61177,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61178,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61179,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61180,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61181,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61182,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61183,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61184,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61185,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61186,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61187,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61188,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61189,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61190,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61191,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61192,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61193,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61194,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61195,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61196,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61197,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61198,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61199,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61200,,,,
